# index, meta, _pos
5132,javax.swing.plaf.multi.MultiInternalFrameUI,"array([ 6.83896054, -2.78306937])"
5133,javax.swing.plaf.multi.MultiLabelUI,"array([ 7.03941947, -2.52884397])"
5134,javax.swing.plaf.multi.MultiListUI,"array([ 6.63911569, -2.05983384])"
5135,javax.swing.plaf.multi.MultiLookAndFeel,"array([ 5.7891471 , -2.10961429])"
5136,javax.swing.plaf.multi.MultiMenuBarUI,"array([ 7.00041083, -2.67092526])"
5137,javax.swing.plaf.multi.MultiMenuItemUI,"array([ 7.014043  , -2.72439674])"
5138,javax.swing.plaf.multi.MultiOptionPaneUI,"array([ 6.72462841, -2.76420263])"
5139,javax.swing.plaf.multi.MultiPanelUI,"array([ 6.96306024, -2.09004059])"
5140,javax.swing.plaf.multi.MultiPopupMenuUI,"array([ 6.94609114, -2.59569043])"
5141,javax.swing.plaf.multi.MultiProgressBarUI,"array([ 6.99952102, -2.20735091])"
5142,javax.swing.plaf.multi.MultiRootPaneUI,"array([ 7.08850154, -2.31000748])"
5143,javax.swing.plaf.multi.MultiScrollBarUI,"array([ 7.03527361, -2.2512368 ])"
5144,javax.swing.plaf.multi.MultiScrollPaneUI,"array([ 7.13970111, -2.50348865])"
5145,javax.swing.plaf.multi.MultiSeparatorUI,"array([ 7.02452955, -2.1609038 ])"
5146,javax.swing.plaf.multi.MultiSliderUI,"array([ 6.94040255, -2.32386861])"
5147,javax.swing.plaf.multi.MultiSpinnerUI,"array([ 7.08604212, -2.25330297])"
5148,javax.swing.plaf.multi.MultiSplitPaneUI,"array([ 6.561136  , -2.77865799])"
5149,javax.swing.plaf.multi.MultiTabbedPaneUI,"array([ 6.79734968, -2.07510297])"
5150,javax.swing.plaf.multi.MultiTableHeaderUI,"array([ 6.90305087, -2.52673882])"
5151,javax.swing.plaf.multi.MultiTableUI,"array([ 6.95871327, -2.52861375])"
5152,javax.swing.plaf.multi.MultiTextUI,"array([ 6.41295219, -2.15330093])"
5153,javax.swing.plaf.multi.MultiToolBarUI,"array([ 7.00483316, -2.10476574])"
5154,javax.swing.plaf.multi.MultiToolTipUI,"array([ 7.06465396, -2.68485749])"
5155,javax.swing.plaf.multi.MultiTreeUI,"array([ 6.60650843, -2.1731144 ])"
5156,javax.swing.plaf.multi.MultiUIDefaults,"array([ 5.42220581, -2.26031067])"
5157,javax.swing.plaf.multi.MultiViewportUI,"array([ 6.97070604, -2.14999545])"
5158,javax.swing.plaf.synth.ColorType,"array([ 6.95031528, -2.22143479])"
5159,javax.swing.plaf.synth.DefaultMenuLayout,"array([ 6.40710374, -2.85074827])"
5160,javax.swing.plaf.synth.DefaultSynthStyleFactory,"array([ 6.85091553, -3.35806284])"
5161,javax.swing.plaf.synth.SynthStyleFactory,"array([ 6.68146498, -3.29354159])"
5162,javax.swing.plaf.synth.SynthStyle,"array([ 6.11248006, -2.14470569])"
5163,javax.swing.plaf.synth.Region,"array([ 6.75467889, -2.94553877])"
5164,javax.swing.plaf.synth.ImagePainter,"array([ 6.36949126, -2.338631  ])"
5165,javax.swing.plaf.synth.SynthPainter,"array([ 6.31434778, -2.29573726])"
5166,javax.swing.plaf.synth.SynthContext,"array([ 6.43260351, -2.35901977])"
5167,javax.swing.plaf.synth.ParsedSynthStyle,"array([ 6.12115123, -2.75289871])"
5168,javax.swing.plaf.synth.SynthGraphicsUtils,"array([ 5.87824833, -2.10091655])"
5169,javax.swing.plaf.synth.ParsedSynthStyle$1,"array([ 6.07619203, -0.63164871])"
5170,javax.swing.plaf.synth.ParsedSynthStyle$AggregatePainter,"array([ 6.44871602, -2.31803271])"
5171,javax.swing.plaf.synth.ParsedSynthStyle$DelegatingPainter,"array([ 6.44901686, -2.2789435 ])"
5172,javax.swing.plaf.synth.ParsedSynthStyle$PainterInfo,"array([ 6.28773597, -0.58321467])"
5173,javax.swing.plaf.synth.ParsedSynthStyle$StateInfo,"array([ 5.54493838, -1.8340526 ])"
5174,javax.swing.plaf.synth.SynthArrowButton,"array([ 5.78562648, -2.44579403])"
5175,javax.swing.plaf.synth.SynthArrowButton$1,"array([ 5.25928047, -4.5477838 ])"
5176,javax.swing.plaf.synth.SynthArrowButton$SynthArrowButtonUI,"array([ 6.77217945, -2.67646275])"
5177,javax.swing.plaf.synth.SynthButtonUI,"array([ 6.81527634, -2.31396085])"
5178,javax.swing.plaf.synth.SynthBorder,"array([ 6.57987884, -2.64105466])"
5179,javax.swing.plaf.synth.SynthCheckBoxMenuItemUI,"array([ 6.81211881, -2.50072949])"
5180,javax.swing.plaf.synth.SynthMenuItemUI,"array([ 6.68812875, -2.59139981])"
5181,javax.swing.plaf.synth.SynthCheckBoxUI,"array([ 6.7730737 , -2.31715137])"
5182,javax.swing.plaf.synth.SynthRadioButtonUI,"array([ 6.75540322, -2.44515332])"
5183,javax.swing.plaf.synth.SynthColorChooserUI,"array([ 6.76638039, -2.53980848])"
5184,javax.swing.plaf.synth.SynthComboBoxUI,"array([ 6.66469504, -2.48044009])"
5185,javax.swing.plaf.synth.SynthComboBoxUI$SynthComboBoxEditor,"array([ 6.39944634, -2.63503922])"
5186,javax.swing.plaf.synth.SynthComboBoxUI$SynthComboBoxRenderer,"array([ 5.97488923, -2.53470567])"
5187,javax.swing.plaf.synth.SynthComboPopup,"array([ 6.03305965, -2.47658838])"
5188,javax.swing.plaf.synth.SynthDefaultLookup,"array([ 6.18401948, -2.71790545])"
5189,javax.swing.plaf.synth.SynthDesktopIconUI,"array([ 6.58445556, -2.74198541])"
5190,javax.swing.plaf.synth.SynthDesktopIconUI$1,"array([ 5.74527829, -2.4998083 ])"
5191,javax.swing.plaf.synth.SynthDesktopPaneUI,"array([ 6.86959426, -2.10182103])"
5192,javax.swing.plaf.synth.SynthDesktopPaneUI$SynthDesktopManager,"array([ 6.75407907, -2.99621647])"
5193,javax.swing.plaf.synth.SynthDesktopPaneUI$TaskBar,"array([ 5.91889323, -2.3736028 ])"
5194,javax.swing.plaf.synth.SynthDesktopPaneUI$TaskBar$1,"array([ 6.76234236, -1.99335822])"
5195,javax.swing.plaf.synth.SynthDesktopPaneUI$TaskBar$2,"array([ 6.21705947, -1.93633001])"
5196,javax.swing.plaf.synth.SynthEditorPaneUI,"array([ 6.27051275, -2.18040141])"
5197,javax.swing.plaf.synth.SynthFormattedTextFieldUI,"array([ 6.31982705, -2.18571592])"
5198,javax.swing.plaf.synth.SynthTextFieldUI,"array([ 6.37270796, -2.06968937])"
5199,javax.swing.plaf.synth.SynthGraphicsUtils$SynthIconWrapper,"array([ 6.39028831, -1.24642299])"
5200,javax.swing.plaf.synth.SynthInternalFrameTitlePane,"array([ 5.90283374, -2.55165516])"
5201,javax.swing.plaf.synth.SynthInternalFrameTitlePane$1,"array([ 7.16785385, -1.86033097])"
5202,javax.swing.plaf.synth.SynthInternalFrameTitlePane$JPopupMenuUIResource,"array([ 5.97169601, -2.27333789])"
5203,javax.swing.plaf.synth.SynthInternalFrameTitlePane$SynthTitlePaneLayout,"array([ 5.77620389, -1.90174684])"
5204,javax.swing.plaf.synth.SynthInternalFrameUI,"array([ 6.77165139, -2.58362262])"
5205,javax.swing.plaf.synth.SynthInternalFrameUI$1,"array([ 7.5115178 , -2.63563421])"
5206,javax.swing.plaf.synth.SynthLabelUI,"array([ 6.93389151, -2.27397821])"
5207,javax.swing.plaf.synth.SynthListUI,"array([ 6.63425817, -2.35236343])"
5208,javax.swing.plaf.synth.SynthListUI$1,"array([ 3.46091004, -1.15396395])"
5209,javax.swing.plaf.synth.SynthListUI$SynthListCellRenderer,"array([ 5.79500684, -2.53133153])"
5210,javax.swing.plaf.synth.SynthLookAndFeel,"array([ 5.9898814 , -2.84642156])"
5211,javax.swing.plaf.synth.SynthLookAndFeel$1,"array([ 3.43242858, -1.69329161])"
5212,javax.swing.plaf.synth.SynthLookAndFeel$AATextListener,"array([ 6.10415512, -1.10357668])"
5213,javax.swing.plaf.synth.SynthLookAndFeel$AATextListener$1,"array([ 3.4225008 , -1.35143017])"
5214,javax.swing.plaf.synth.SynthLookAndFeel$Handler,"array([ 6.70308872, -1.27490238])"
5215,javax.swing.plaf.synth.SynthMenuBarUI,"array([ 6.92071983, -2.48231642])"
5216,javax.swing.plaf.synth.SynthMenuUI,"array([ 6.86216386, -2.55720932])"
5217,javax.swing.plaf.synth.SynthOptionPaneUI,"array([ 6.69938681, -2.29589759])"
5218,javax.swing.plaf.synth.SynthPainter$1,"array([ 6.38189558, -2.25805494])"
5219,javax.swing.plaf.synth.SynthPanelUI,"array([ 6.85498244, -2.28687979])"
5220,javax.swing.plaf.synth.SynthParser,"array([ 5.48923559, -3.24887712])"
5221,javax.swing.plaf.synth.SynthParser$LazyImageIcon,"array([ 6.24940546, -3.08002405])"
5222,javax.swing.plaf.synth.SynthPasswordFieldUI,"array([ 6.29892125, -2.09514414])"
5223,javax.swing.plaf.synth.SynthPopupMenuUI,"array([ 6.72301323, -2.57112984])"
5224,javax.swing.plaf.synth.SynthProgressBarUI,"array([ 6.84521562, -2.23261668])"
5225,javax.swing.plaf.synth.SynthRadioButtonMenuItemUI,"array([ 6.76588792, -2.49204709])"
5226,javax.swing.plaf.synth.SynthToggleButtonUI,"array([ 6.87853019, -2.60022157])"
5227,javax.swing.plaf.synth.SynthRootPaneUI,"array([ 6.98922029, -2.30709947])"
5228,javax.swing.plaf.synth.SynthScrollBarUI,"array([ 6.48556419, -2.07867616])"
5229,javax.swing.plaf.synth.SynthScrollPaneUI,"array([ 6.1405608 , -2.81532504])"
5230,javax.swing.plaf.synth.SynthScrollPaneUI$ViewportBorder,"array([ 6.68916566, -2.37709539])"
5231,javax.swing.plaf.synth.SynthSeparatorUI,"array([ 6.67230269, -2.68367224])"
5232,javax.swing.plaf.synth.SynthSliderUI,"array([ 6.54287306, -2.49121353])"
5233,javax.swing.plaf.synth.SynthSliderUI$SynthTrackListener,"array([ 7.15287198, -1.63169475])"
5234,javax.swing.plaf.synth.SynthSpinnerUI,"array([ 6.82599148, -2.60090982])"
5235,javax.swing.plaf.synth.SynthSpinnerUI$1,"array([ 3.15830498, -3.17239486])"
5236,javax.swing.plaf.synth.SynthSpinnerUI$SpinnerLayout,"array([ 5.95102319, -1.79021589])"
5237,javax.swing.plaf.synth.SynthSplitPaneDivider,"array([ 6.03731927, -2.63630361])"
5238,javax.swing.plaf.synth.SynthSplitPaneUI,"array([ 6.40420732, -2.30890036])"
5239,javax.swing.plaf.synth.SynthSplitPaneUI$1,"array([ 6.10297766, -2.70738468])"
5240,javax.swing.plaf.synth.SynthTabbedPaneUI,"array([ 6.6407645 , -2.44931095])"
5241,javax.swing.plaf.synth.SynthTabbedPaneUI$SynthScrollableTabButton,"array([ 5.79698933, -2.56428973])"
5242,javax.swing.plaf.synth.SynthTableHeaderUI,"array([ 6.91150196, -2.57088047])"
5243,javax.swing.plaf.synth.SynthTableHeaderUI$HeaderRenderer,"array([ 5.85235172, -2.46870049])"
5244,javax.swing.plaf.synth.SynthTableUI,"array([ 6.78978902, -2.15449152])"
5245,javax.swing.plaf.synth.SynthTableUI$1,"array([ 4.4221596 , -0.46712032])"
5246,javax.swing.plaf.synth.SynthTableUI$SynthBooleanTableCellRenderer,"array([ 5.83173029, -2.57164142])"
5247,javax.swing.plaf.synth.SynthTableUI$SynthTableCellRenderer,"array([ 5.73953013, -2.4109018 ])"
5248,javax.swing.table.DefaultTableCellRenderer,"array([ 5.84947826, -2.44343016])"
5249,javax.swing.plaf.synth.SynthTextAreaUI,"array([ 6.36465152, -2.1898426 ])"
5250,javax.swing.plaf.synth.SynthTextPaneUI,"array([ 6.2924218 , -2.23902244])"
5251,javax.swing.plaf.synth.SynthToolBarUI,"array([ 6.58444399, -2.22123152])"
5252,javax.swing.plaf.synth.SynthToolBarUI$SynthToolBarLayoutManager,"array([ 6.34347921, -1.87201604])"
5253,javax.swing.plaf.synth.SynthToolTipUI,"array([ 6.80201341, -2.26000589])"
5254,javax.swing.plaf.synth.SynthTreeUI,"array([ 6.41951288, -2.24204062])"
5255,javax.swing.plaf.synth.SynthTreeUI$1,"array([ 3.96565283, -3.90221749])"
5256,javax.swing.plaf.synth.SynthTreeUI$ExpandedIconWrapper,"array([ 6.85872789, -1.9307963 ])"
5257,javax.swing.plaf.synth.SynthTreeUI$SynthTreeCellEditor,"array([ 6.44525732, -2.62963188])"
5258,javax.swing.tree.DefaultTreeCellEditor,"array([ 6.41584286, -2.42943199])"
5259,javax.swing.tree.DefaultTreeCellRenderer,"array([ 5.99724528, -2.47531994])"
5260,javax.swing.plaf.synth.SynthTreeUI$SynthTreeCellEditor$1,"array([ 5.7967411 , -2.33296621])"
5261,javax.swing.plaf.synth.SynthTreeUI$SynthTreeCellRenderer,"array([ 5.84210767, -2.23487567])"
5262,javax.swing.plaf.synth.SynthViewportUI,"array([ 6.89317495, -2.25602181])"
5263,javax.swing.table.DefaultTableColumnModel,"array([ 6.34809305, -1.9713866 ])"
5264,javax.swing.table.DefaultTableModel,"array([ 5.6414477 , -1.81667679])"
5265,javax.swing.table.JTableHeader$AccessibleJTableHeader,"array([ 5.44310658, -2.55647064])"
5266,javax.swing.table.JTableHeader$AccessibleJTableHeader$AccessibleJTableHeaderEntry,"array([ 5.57886629, -2.4828586 ])"
5267,javax.swing.table.TableColumn$1,"array([ 5.88913203, -2.4751541 ])"
5268,javax.swing.table.TableRowSorter,"array([ 5.55465293, -2.97009993])"
5269,javax.swing.table.TableStringConverter,"array([ 5.16777171, -1.783412  ])"
5270,javax.swing.table.TableRowSorter$1,"array([ 3.20122364, -3.23359066])"
5271,javax.swing.table.TableRowSorter$ComparableComparator,"array([ 4.536546  , -1.56189675])"
5272,javax.swing.table.TableRowSorter$TableRowSorterModelWrapper,"array([ 5.29632712, -1.77590333])"
5273,javax.swing.text.AbstractDocument,"array([ 5.56912162, -1.9365883 ])"
5274,javax.swing.text.AbstractDocument$1,"array([ 3.5789866 , -1.81653467])"
5275,javax.swing.text.AbstractDocument$2,"array([ 3.10253457, -2.98209208])"
5276,javax.swing.text.AbstractDocument$AbstractElement,"array([ 5.2902024 , -1.86834834])"
5277,javax.swing.text.AbstractDocument$AttributeContext,"array([ 5.45939361, -1.27365632])"
5278,javax.swing.text.AbstractDocument$BidiElement,"array([ 5.30498945, -1.96396555])"
5279,javax.swing.text.AbstractDocument$LeafElement,"array([ 5.34551512, -1.86485264])"
5280,javax.swing.text.AbstractDocument$BidiRootElement,"array([ 5.41343544, -1.93621186])"
5281,javax.swing.text.AbstractDocument$BranchElement,"array([ 5.26901791, -1.91602343])"
5282,javax.swing.text.AbstractDocument$Content,"array([ 6.34414203, -1.0762618 ])"
5283,javax.swing.text.AbstractDocument$DefaultDocumentEvent,"array([ 6.19201468, -1.57407154])"
5284,javax.swing.undo.CompoundEdit,"array([ 6.3946965 , -2.78823809])"
5285,javax.swing.text.AbstractDocument$DefaultFilterBypass,"array([ 5.39564629, -1.33464334])"
5286,javax.swing.text.AbstractDocument$ElementEdit,"array([ 6.12915995, -1.43697936])"
5287,javax.swing.undo.AbstractUndoableEdit,"array([ 6.1426047 , -2.09553749])"
5288,javax.swing.text.AbstractDocument$UndoRedoDocumentEvent,"array([ 6.434814 , -1.1246716])"
5289,javax.swing.text.AbstractWriter,"array([ 4.17325803, -2.10238999])"
5290,javax.swing.text.AsyncBoxView,"array([ 6.41134061, -1.58698935])"
5291,javax.swing.text.AsyncBoxView$ChildLocator,"array([ 6.54743467, -1.10713453])"
5292,javax.swing.text.AsyncBoxView$ChildState,"array([ 5.74461656, -1.03343255])"
5293,javax.swing.text.AsyncBoxView$FlushTask,"array([ 4.1696518 , -0.80233736])"
5294,javax.swing.text.BadLocationException,"array([ 6.07049815, -3.42216317])"
5295,javax.swing.text.BoxView,"array([ 6.41653801, -1.71560553])"
5296,javax.swing.text.ChangedCharSetException,"array([ 6.129945  , -3.46765044])"
5297,javax.swing.text.ComponentView,"array([ 6.37102915, -1.45660319])"
5298,javax.swing.text.ComponentView$1,"array([ 3.4983959 , -1.56507975])"
5299,javax.swing.text.ComponentView$Invalidator,"array([ 5.82748915, -2.16409656])"
5300,javax.swing.text.InternationalFormatter,"array([ 4.70007455, -2.25131989])"
5301,javax.swing.text.DefaultCaret$1,"array([ 5.02243018, -0.60916406])"
5302,javax.swing.text.DefaultCaret$DefaultFilterBypass,"array([ 7.01272397, -1.23071551])"
5303,javax.swing.text.NavigationFilter$FilterBypass,"array([ 6.64289808, -1.25620957])"
5304,javax.swing.text.DefaultCaret$Handler,"array([ 6.9308242 , -2.43491729])"
5305,javax.swing.text.DefaultCaret$SafeScroller,"array([ 4.47474717, -0.6412406 ])"
5306,javax.swing.text.DefaultEditorKit$BeepAction,"array([ 5.67021215, -3.06300148])"
5307,javax.swing.text.DefaultEditorKit$BeginAction,"array([ 5.5997564 , -3.14141252])"
5308,javax.swing.text.DefaultEditorKit$BeginLineAction,"array([ 5.47415853, -2.90100746])"
5309,javax.swing.text.DefaultEditorKit$BeginParagraphAction,"array([ 5.74887066, -3.10465163])"
5310,javax.swing.text.DefaultEditorKit$BeginWordAction,"array([ 5.25472737, -2.39549379])"
5311,javax.swing.text.DefaultEditorKit$CopyAction,"array([ 5.13829933, -2.25846501])"
5312,javax.swing.text.DefaultEditorKit$CutAction,"array([ 5.11034306, -2.57182074])"
5313,javax.swing.text.DefaultEditorKit$DefaultKeyTypedAction,"array([ 5.76237322, -3.05576931])"
5314,javax.swing.text.DefaultEditorKit$DeleteNextCharAction,"array([ 5.48750319, -3.01166632])"
5315,javax.swing.text.DefaultEditorKit$DeletePrevCharAction,"array([ 5.11967774, -2.47936617])"
5316,javax.swing.text.DefaultEditorKit$DeleteWordAction,"array([ 5.23538581, -2.6734474 ])"
5317,javax.swing.text.DefaultEditorKit$DumpModelAction,"array([ 5.62119173, -3.0918418 ])"
5318,javax.swing.text.DefaultEditorKit$EndAction,"array([ 5.60166665, -2.96911407])"
5319,javax.swing.text.DefaultEditorKit$EndLineAction,"array([ 5.80932598, -3.04372402])"
5320,javax.swing.text.DefaultEditorKit$EndParagraphAction,"array([ 5.71059064, -3.13862006])"
5321,javax.swing.text.DefaultEditorKit$EndWordAction,"array([ 5.41388055, -2.82609013])"
5322,javax.swing.text.DefaultEditorKit$InsertBreakAction,"array([ 5.27755821, -2.33469311])"
5323,javax.swing.text.DefaultEditorKit$InsertContentAction,"array([ 5.68758404, -2.92821298])"
5324,javax.swing.text.DefaultEditorKit$InsertTabAction,"array([ 5.28621762, -2.17203095])"
5325,javax.swing.text.DefaultEditorKit$NextVisualPositionAction,"array([ 5.19571326, -2.23075735])"
5326,javax.swing.text.DefaultEditorKit$NextWordAction,"array([ 5.32108756, -3.07920083])"
5327,javax.swing.text.DefaultEditorKit$PageAction,"array([ 5.79188192, -3.09979188])"
5328,javax.swing.text.DefaultEditorKit$PasteAction,"array([ 5.12214771, -2.33181401])"
5329,javax.swing.text.DefaultEditorKit$PreviousWordAction,"array([ 5.30188127, -3.17264924])"
5330,javax.swing.text.DefaultEditorKit$ReadOnlyAction,"array([ 5.84838401, -3.01058645])"
5331,javax.swing.text.DefaultEditorKit$SelectAllAction,"array([ 5.17115061, -2.49796992])"
5332,javax.swing.text.DefaultEditorKit$SelectLineAction,"array([ 5.53681358, -3.01707022])"
5333,javax.swing.text.DefaultEditorKit$SelectParagraphAction,"array([ 5.24310654, -2.55720758])"
5334,javax.swing.text.DefaultEditorKit$SelectWordAction,"array([ 5.62997543, -2.91752301])"
5335,javax.swing.text.DefaultEditorKit$ToggleComponentOrientationAction,"array([ 5.40791974, -2.96737381])"
5336,javax.swing.text.DefaultEditorKit$UnselectAction,"array([ 5.32053647, -2.62761528])"
5337,javax.swing.text.DefaultEditorKit$VerticalPageAction,"array([ 5.52579388, -3.06508436])"
5338,javax.swing.text.DefaultEditorKit$WritableAction,"array([ 5.33005169, -2.97855716])"
5339,javax.swing.text.DefaultFormatter,"array([ 5.16599224, -1.89469803])"
5340,javax.swing.text.DefaultFormatter$1,"array([ 3.11719079, -2.02411589])"
5341,javax.swing.text.DefaultFormatter$DefaultDocumentFilter,"array([ 5.40658116, -1.53092436])"
5342,javax.swing.text.DefaultFormatter$DefaultNavigationFilter,"array([ 6.72776821, -1.4007254 ])"
5343,javax.swing.text.DefaultFormatter$ReplaceHolder,"array([ 6.96301255, -3.78455624])"
5344,javax.swing.text.DefaultFormatterFactory,"array([ 5.18712711, -1.3044555 ])"
5345,javax.swing.text.LayeredHighlighter,"array([ 5.95089869, -1.63866678])"
5346,javax.swing.text.DefaultHighlighter$DefaultHighlightPainter,"array([ 6.76543183, -1.55278806])"
5347,javax.swing.text.DefaultHighlighter$HighlightInfo,"array([ 6.67172885, -0.79819837])"
5348,javax.swing.text.Highlighter$Highlight,"array([7.89419594, 0.31303732])"
5349,javax.swing.text.DefaultHighlighter$LayeredHighlightInfo,"array([ 6.73276161, -0.60400205])"
5350,javax.swing.text.DefaultHighlighter$SafeDamager,"array([ 5.46918711, -0.91277131])"
5351,javax.swing.text.DefaultStyledDocument,"array([ 5.51174538, -1.97568065])"
5352,javax.swing.text.DefaultStyledDocument$AbstractChangeHandler,"array([ 6.99115556, -3.26606618])"
5353,javax.swing.text.DefaultStyledDocument$AbstractChangeHandler$DocReference,"array([ 6.11197056, -0.7947433 ])"
5354,javax.swing.text.DefaultStyledDocument$AttributeUndoableEdit,"array([ 6.3807697 , -1.79350738])"
5355,javax.swing.text.DefaultStyledDocument$ChangeUpdateRunnable,"array([ 4.05661366, -1.05023728])"
5356,javax.swing.text.DefaultStyledDocument$ElementBuffer,"array([ 5.83555248, -1.22486548])"
5357,javax.swing.text.DefaultStyledDocument$ElementBuffer$ElemChanges,"array([ 3.06072651, -1.90633413])"
5358,javax.swing.text.DefaultStyledDocument$ElementSpec,"array([ 5.5522626 , -1.00816531])"
5359,javax.swing.text.DefaultStyledDocument$SectionElement,"array([ 5.32233907, -1.91142547])"
5360,javax.swing.text.DefaultStyledDocument$StyleChangeHandler,"array([ 7.30932983, -3.39440819])"
5361,javax.swing.text.DefaultStyledDocument$StyleChangeUndoableEdit,"array([ 5.63005788, -1.58827436])"
5362,javax.swing.text.DefaultStyledDocument$StyleContextChangeHandler,"array([ 7.24351052, -3.5309177 ])"
5363,javax.swing.text.DefaultTextUI,"array([ 6.34715909, -2.01737121])"
5364,javax.swing.text.ElementIterator,"array([ 5.57252487, -1.34000157])"
5365,javax.swing.text.ElementIterator$1,"array([ 5.147805  , -0.50154743])"
5366,javax.swing.text.ElementIterator$StackItem,"array([ 5.49507653, -0.75470248])"
5367,javax.swing.text.FieldView,"array([ 6.36747929, -1.56227001])"
5368,javax.swing.text.PlainView,"array([ 6.27618827, -1.40412133])"
5369,javax.swing.text.FlowView,"array([ 6.46019879, -1.54940136])"
5370,javax.swing.text.FlowView$FlowStrategy,"array([ 6.57099954, -1.37561945])"
5371,javax.swing.text.FlowView$LogicalView,"array([ 6.12115706, -1.57629473])"
5372,javax.swing.text.GapContent,"array([ 5.68293113, -1.53310103])"
5373,javax.swing.text.GapVector,"array([ 5.66849872, -0.81931395])"
5374,javax.swing.text.GapContent$InsertUndo,"array([ 6.46362433, -2.94460088])"
5375,javax.swing.text.GapContent$MarkData,"array([ 5.40678636, -0.51321098])"
5376,javax.swing.text.GapContent$MarkVector,"array([ 5.59758695, -0.19487165])"
5377,javax.swing.text.GapContent$RemoveUndo,"array([ 6.69608742, -2.85498553])"
5378,javax.swing.text.GapContent$StickyPosition,"array([ 6.90752477, -3.00311063])"
5379,javax.swing.text.GapContent$UndoPosRef,"array([ 6.63551726, -0.86830816])"
5380,javax.swing.text.GlyphPainter1,"array([ 6.83434842, -1.20621452])"
5381,javax.swing.text.GlyphView$GlyphPainter,"array([ 6.5602223, -1.2045561])"
5382,javax.swing.text.GlyphView,"array([ 6.46845589, -1.398483  ])"
5383,javax.swing.text.TabExpander,"array([ 7.03552056, -0.87904807])"
5384,javax.swing.text.GlyphPainter2,"array([ 6.77031813, -1.17576221])"
5385,javax.swing.text.TabableView,"array([ 7.73381926, -0.30106886])"
5386,javax.swing.text.GlyphView$JustificationInfo,"array([ 5.22684649, -4.44589846])"
5387,javax.swing.text.IconView,"array([ 6.4780678 , -1.67396378])"
5388,javax.swing.text.InternationalFormatter$ExtendedReplaceHolder,"array([ 6.95747686, -3.99876741])"
5389,javax.swing.text.InternationalFormatter$IncrementAction,"array([ 5.19056086, -2.5463223 ])"
5390,javax.swing.text.JTextComponent$1,"array([ 3.35543146, -2.50814916])"
5391,javax.swing.text.JTextComponent$2,"array([ 3.53199406, -1.39738382])"
5392,javax.swing.text.JTextComponent$2$1,"array([ 3.4245364 , -2.61668145])"
5393,javax.swing.text.JTextComponent$2$2,"array([ 4.23019389, -0.81248894])"
5394,javax.swing.text.JTextComponent$3,"array([ 3.45216138, -2.01808326])"
5395,javax.swing.text.JTextComponent$4,"array([ 2.96583454, -2.34626299])"
5396,javax.swing.text.JTextComponent$AccessibleJTextComponent$1,"array([ 7.56512221, -2.27578692])"
5397,javax.swing.text.JTextComponent$AccessibleJTextComponent$2,"array([ 4.54083122, -0.79750607])"
5398,javax.swing.text.JTextComponent$AccessibleJTextComponent$3,"array([ 3.9677207 , -1.12443333])"
5399,javax.swing.text.JTextComponent$AccessibleJTextComponent$4,"array([ 3.83693698, -0.88214043])"
5400,javax.swing.text.JTextComponent$AccessibleJTextComponent$IndexedSegment,"array([ 4.44226032, -1.54829935])"
5401,javax.swing.text.JTextComponent$ComposedTextCaret,"array([ 6.08881128, -1.7851634 ])"
5402,javax.swing.text.JTextComponent$DefaultKeymap,"array([ 6.47298697, -2.02678167])"
5403,javax.swing.text.JTextComponent$DefaultTransferHandler,"array([ 7.01373592, -2.86462372])"
5404,javax.swing.text.JTextComponent$DoSetCaretPosition,"array([ 3.22902098, -1.70728667])"
5405,javax.swing.text.JTextComponent$InputMethodRequestsHandler,"array([ 5.97753909, -1.29073837])"
5406,javax.swing.text.JTextComponent$KeyBinding,"array([ 5.57619347, -1.53855369])"
5407,javax.swing.text.JTextComponent$KeymapActionMap,"array([ 5.69538372, -1.58386021])"
5408,javax.swing.text.JTextComponent$KeymapWrapper,"array([ 6.2323254 , -1.81246722])"
5409,javax.swing.text.JTextComponent$MutableCaretEvent,"array([ 6.60584769, -1.77783256])"
5410,javax.swing.text.LabelView,"array([ 6.51751899, -1.44325186])"
5411,javax.swing.text.LayoutQueue,"array([ 3.50106316, -1.44064544])"
5412,javax.swing.text.LayoutQueue$LayoutThread,"array([ 4.50936456, -3.26752388])"
5413,javax.swing.text.MaskFormatter,"array([ 5.08178152, -2.23586522])"
5414,javax.swing.text.MaskFormatter$1,"array([ 5.83274157, -4.42050372])"
5415,javax.swing.text.MaskFormatter$AlphaNumericCharacter,"array([ 3.91190572, -2.39410107])"
5416,javax.swing.text.MaskFormatter$MaskCharacter,"array([ 4.12825762, -2.67433689])"
5417,javax.swing.text.MaskFormatter$CharCharacter,"array([ 3.94543748, -3.40886489])"
5418,javax.swing.text.MaskFormatter$DigitMaskCharacter,"array([ 4.01914576, -2.49120244])"
5419,javax.swing.text.MaskFormatter$HexCharacter,"array([ 4.09821294, -2.00157727])"
5420,javax.swing.text.MaskFormatter$LiteralCharacter,"array([ 4.03499744, -3.21329199])"
5421,javax.swing.text.MaskFormatter$LowerCaseCharacter,"array([ 4.40686744, -3.83097487])"
5422,javax.swing.text.MaskFormatter$UpperCaseCharacter,"array([ 4.63678201, -1.7758295 ])"
5423,javax.swing.text.ParagraphView$Row,"array([ 6.55689476, -1.53937022])"
5424,javax.swing.text.PasswordView,"array([ 6.1831025, -1.4017264])"
5425,javax.swing.text.PlainDocument,"array([ 5.56544187, -1.99352895])"
